Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,3346.600098,3353.199951,3314.100098,3346.600098,3346.600098,0
2019-08-26,3341.199951,3345.500000,3311.100098,3341.199951,3341.199951,0
2019-08-27,3385.500000,3392.100098,3340.300049,3385.500000,3385.500000,0
2019-08-28,3389.699951,3389.699951,3334.699951,3389.699951,3389.699951,0
2019-08-29,3380.000000,3389.699951,3325.199951,3380.000000,3380.000000,0
2019-08-30,3326.600098,3399.300049,3315.199951,3378.800049,3378.800049,0
2019-09-02,3363.199951,3363.199951,3311.699951,3363.199951,3363.199951,0
2019-09-03,3310.699951,3378.100098,3310.300049,3310.699951,3310.699951,0
2019-09-04,3377.399902,3377.399902,3307.000000,3377.399902,3377.399902,0
2019-09-05,3375.500000,3375.500000,3314.899902,3375.500000,3375.500000,0
2019-09-06,3372.800049,3372.800049,3316.600098,3372.800049,3372.800049,0
2019-09-09,3321.800049,3332.500000,3304.300049,3321.800049,3321.800049,0
2019-09-10,3360.600098,3360.600098,3302.199951,3360.600098,3360.600098,0
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,3374.199951,3374.199951,3325.500000,3374.199951,3374.199951,0
2019-10-09,null,null,null,null,null,null
2019-10-10,3371.699951,3371.699951,3326.300049,3371.699951,3371.699951,0
2019-10-11,3328.399902,3374.300049,3325.600098,3374.199951,3374.199951,0
2019-10-14,3325.649902,3326.320068,3325.649902,3325.649902,3325.649902,0
2019-10-15,3326.320068,3330.419922,3326.320068,3326.320068,3326.320068,0
2019-10-16,3330.419922,3378.310059,3327.860107,3384.750000,3384.750000,0
2019-10-17,3327.860107,3386.360107,3327.860107,3378.310059,3378.310059,0
2019-10-18,3386.360107,3386.360107,3329.209961,3386.360107,3386.360107,0
2019-10-21,3385.899902,3385.899902,3317.050049,3385.899902,3385.899902,0
2019-10-22,3359.969971,3360.830078,3302.729980,3359.969971,3359.969971,0
2019-10-23,3360.830078,3360.830078,3300.729980,3360.830078,3360.830078,0
2019-10-24,3300.729980,3310.020020,3300.729980,3300.729980,3300.729980,0
2019-10-25,3351.370117,3354.899902,3303.429932,3351.370117,3351.370117,0
2019-10-28,3340.709961,3345.889893,3300.919922,3340.709961,3340.709961,0
2019-10-29,3349.770020,3349.770020,3300.919922,3349.770020,3349.770020,0
2019-10-30,3357.139893,3357.139893,3303.219971,3357.139893,3357.139893,0
2019-10-31,3357.370117,3357.370117,3306.239990,3357.370117,3357.370117,0
2019-11-01,3356.510010,3356.510010,3309.989990,3356.510010,3356.510010,0
2019-11-04,3319.860107,3327.060059,3319.860107,3319.860107,3319.860107,0
2019-11-05,3327.060059,3331.459961,3327.060059,3327.060059,3327.060059,0
2019-11-06,3367.310059,3372.959961,3331.459961,3367.310059,3367.310059,0
2019-11-07,3382.780029,3393.810059,3337.959961,3382.780029,3382.780029,0
2019-11-08,3380.239990,3387.949951,3339.919922,3380.239990,3380.239990,0
2019-11-11,3387.290039,3387.290039,3339.919922,3387.290039,3387.290039,0
2019-11-12,3380.540039,3380.540039,3342.489990,3380.540039,3380.540039,0
2019-11-13,3342.489990,3342.489990,3339.879883,3342.489990,3342.489990,0
2019-11-14,3339.879883,3339.879883,3337.500000,3339.879883,3339.879883,0
2019-11-15,3394.830078,3394.830078,3337.500000,3394.830078,3394.830078,0
2019-11-18,3338.429932,3338.429932,3337.370117,3338.429932,3338.429932,0
2019-11-19,3337.370117,3339.139893,3337.370117,3337.370117,3337.370117,0
2019-11-20,3339.139893,3339.139893,3333.709961,3339.139893,3339.139893,0
2019-11-21,3375.889893,3375.889893,3328.919922,3375.889893,3375.889893,0
2019-11-22,3369.100098,3372.899902,3325.850098,3369.100098,3369.100098,0
2019-11-25,3362.290039,3372.590088,3318.479980,3362.290039,3362.290039,0
2019-11-26,3364.330078,3368.340088,3317.300049,3364.330078,3364.330078,0
2019-11-27,3366.610107,3366.610107,3317.300049,3366.610107,3366.610107,0
2019-11-28,3375.939941,3375.939941,3326.000000,3375.939941,3375.939941,0
2019-11-29,3326.000000,3378.260010,3326.000000,3326.000000,3326.000000,0
2019-12-02,3327.169922,3329.219971,3327.169922,3327.169922,3327.169922,0
