Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,13862.000000,13876.000000,13681.799805,13690.400391,13690.400391,0
2020-01-02,13847.000000,13906.000000,13688.200195,13689.200195,13689.200195,0
2020-01-03,13881.299805,13966.000000,13775.500000,13884.799805,13884.799805,0
2020-01-06,13931.099609,13973.299805,13916.000000,13934.299805,13934.299805,0
2020-01-07,13929.000000,13939.000000,13875.500000,13926.500000,13926.500000,0
2020-01-08,13933.000000,13956.299805,13859.500000,13867.200195,13867.200195,0
2020-01-09,13875.000000,13901.000000,13833.000000,13886.900391,13886.900391,0
2020-01-10,13870.500000,13870.500000,13716.000000,13827.599609,13827.599609,0
2020-01-13,13526.599609,13756.000000,13523.799805,13522.400391,13522.400391,0
2020-01-14,13666.099609,13718.000000,13635.000000,13665.299805,13665.299805,0
2020-01-15,13694.000000,13727.200195,13637.000000,13668.000000,13668.000000,0
2020-01-16,13723.500000,13723.500000,13615.500000,13665.099609,13665.099609,0
2020-01-17,13669.799805,13688.000000,13616.900391,13623.000000,13623.000000,0
2020-01-20,13452.900391,13657.900391,13447.700195,13457.000000,13457.000000,0
2020-01-21,13648.000000,13690.500000,13614.000000,13615.000000,13615.000000,0
2020-01-22,13714.500000,13714.500000,13555.000000,13651.000000,13651.000000,0
2020-01-23,13678.000000,13678.000000,13603.000000,13626.400391,13626.400391,0
2020-01-24,13692.000000,13692.000000,13556.000000,13609.200195,13609.200195,0
2020-01-27,13711.200195,13711.799805,13566.000000,13712.000000,13712.000000,0
2020-01-28,13719.000000,13719.000000,13215.000000,13213.200195,13213.200195,0
2020-01-29,13641.500000,13658.799805,13604.099609,13634.000000,13634.000000,0
2020-01-30,13650.000000,13701.900391,13611.500000,13614.000000,13614.000000,0
2020-01-31,13712.000000,13783.599609,13593.900391,13643.200195,13643.200195,0
2020-02-03,13638.900391,13810.500000,13638.900391,13633.099609,13633.099609,0
2020-02-04,13732.200195,13771.299805,13681.500000,13735.500000,13735.500000,0
2020-02-05,13715.299805,13731.799805,13628.599609,13702.400391,13702.400391,0
2020-02-06,13680.000000,13680.000000,13593.000000,13668.299805,13668.299805,0
2020-02-07,13699.799805,13762.599609,13434.700195,13698.000000,13698.000000,0
2020-02-10,13670.799805,13757.299805,13667.400391,13675.900391,13675.900391,0
2020-02-11,13745.000000,13745.000000,13648.000000,13691.599609,13691.599609,0
2020-02-12,13684.000000,13684.599609,13641.299805,13657.599609,13657.599609,0
2020-02-13,13708.799805,13718.400391,13494.799805,13500.700195,13500.700195,0
2020-02-14,13745.500000,13745.500000,13668.000000,13695.400391,13695.400391,0
2020-02-17,13667.900391,13695.900391,13646.000000,13681.299805,13681.299805,0
2020-02-18,13726.000000,13726.000000,13649.200195,13649.200195,13649.200195,0
2020-02-19,13769.799805,13769.799805,13645.400391,13768.000000,13768.000000,0
2020-02-20,13763.799805,13845.099609,13655.799805,13762.000000,13762.000000,0
2020-02-21,13899.299805,13899.299805,13701.700195,13703.500000,13703.500000,0
2020-02-24,13783.599609,13968.900391,13757.000000,13771.500000,13771.500000,0
2020-02-25,14050.000000,14051.000000,13851.200195,13879.900391,13879.900391,0
2020-02-26,14056.000000,14108.500000,13856.799805,14056.500000,14056.500000,0
2020-02-27,13929.000000,14176.900391,13901.000000,13931.000000,13931.000000,0
2020-02-28,14316.299805,14422.000000,14009.599609,14316.000000,14316.000000,0
2020-03-02,13941.299805,14731.000000,13929.299805,13972.000000,13972.000000,0
2020-03-03,14220.000000,14277.000000,14056.900391,14220.000000,14220.000000,0
2020-03-04,14275.000000,14275.000000,14057.500000,14199.500000,14199.500000,0
2020-03-05,14255.000000,14292.500000,14111.000000,14256.000000,14256.000000,0
2020-03-06,14462.000000,14463.799805,14187.000000,14309.599609,14309.599609,0
2020-03-09,14124.799805,14796.000000,14124.799805,14251.500000,14251.500000,0
2020-03-10,14702.000000,14702.000000,13877.799805,14094.799805,14094.799805,0
2020-03-11,14291.500000,14481.000000,14273.099609,14272.900391,14272.900391,0
2020-03-12,14524.000000,14709.500000,14244.000000,14526.000000,14526.000000,0
2020-03-13,14850.000000,14984.000000,14060.000000,14850.000000,14850.000000,0
2020-03-16,14624.900391,15131.500000,14610.799805,14635.000000,14635.000000,0
2020-03-17,14924.000000,15280.500000,14924.000000,15192.000000,15192.000000,0
2020-03-18,15199.000000,15523.000000,14889.900391,14955.799805,14955.799805,0
2020-03-19,15472.500000,16180.000000,15437.500000,15474.500000,15474.500000,0
2020-03-20,15913.000000,16327.500000,15785.500000,15908.000000,15908.000000,0
2020-03-23,16625.000000,16639.500000,16045.000000,15766.200195,15766.200195,0
