iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FRA,Europe,France,31-12-19,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,01-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,02-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,03-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,04-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,05-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,06-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,07-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,08-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,09-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,10-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,11-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,12-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,13-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,14-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,15-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,16-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,17-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,18-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,19-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,20-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,21-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,22-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,23-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.78,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,24-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,25-01-20,3,3,0.429,0,0,0,0.046,0.046,0.007,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,26-01-20,3,0,0.429,0,0,0,0.046,0,0.007,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,27-01-20,3,0,0.429,0,0,0,0.046,0,0.007,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,28-01-20,3,0,0.429,0,0,0,0.046,0,0.007,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,29-01-20,4,1,0.571,0,0,0,0.061,0.015,0.009,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,30-01-20,5,1,0.714,0,0,0,0.077,0.015,0.011,0,0,0,,,,,,,,,,11.11,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,31-01-20,6,1,0.857,0,0,0,0.092,0.015,0.013,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,01-02-20,6,0,0.429,0,0,0,0.092,0,0.007,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,02-02-20,6,0,0.429,0,0,0,0.092,0,0.007,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,03-02-20,6,0,0.429,0,0,0,0.092,0,0.007,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,04-02-20,6,0,0.429,0,0,0,0.092,0,0.007,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,05-02-20,6,0,0.286,0,0,0,0.092,0,0.004,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,06-02-20,6,0,0.143,0,0,0,0.092,0,0.002,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,07-02-20,6,0,0,0,0,0,0.092,0,0,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,08-02-20,11,5,0.714,0,0,0,0.169,0.077,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,09-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,10-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,11-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,12-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,13-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,14-02-20,11,0,0.714,0,0,0,0.169,0,0.011,0,0,0,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,15-02-20,11,0,0,1,1,0.143,0.169,0,0,0.015,0.015,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,16-02-20,11,0,0,1,0,0.143,0.169,0,0,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,17-02-20,12,1,0.143,1,0,0.143,0.184,0.015,0.002,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,18-02-20,12,0,0.143,1,0,0.143,0.184,0,0.002,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,19-02-20,12,0,0.143,1,0,0.143,0.184,0,0.002,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,20-02-20,12,0,0.143,1,0,0.143,0.184,0,0.002,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
FRA,Europe,France,21-02-20,12,0,0.143,1,0,0.143,0.184,0,0.002,0.015,0,0.002,,,,,,,,,,13.89,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
