iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
IDN,Asia,Indonesia,01-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,02-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,03-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,04-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,05-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,06-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,07-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,08-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,09-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,10-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,11-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,12-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,13-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,14-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,15-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,16-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,17-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5.56,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,18-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,19-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,20-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,21-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,22-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,23-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,24-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,25-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,26-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,27-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,28-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,8.33,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,29-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,13.89,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,30-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,13.89,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,31-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,13.89,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,01-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,13.89,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,02-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,13.89,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,03-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23.15,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,04-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23.15,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,05-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,06-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,07-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,08-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,09-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,10-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,11-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,12-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,13-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,14-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,15-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,16-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,17-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,18-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,19-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,20-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,21-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,22-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,23-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,24-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,25-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,26-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,27-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,28-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,29-02-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,01-03-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,02-03-20,2,2,0.286,0,0,0,0.007,0.007,0.001,0,0,0,,,,,,,,,,28.7,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,03-03-20,,,0.286,,,0,,,0.001,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,04-03-20,,,0.286,,,0,,,0.001,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,05-03-20,,,0.286,,,0,,,0.001,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,06-03-20,,,0.286,,,0,,,0.001,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,07-03-20,4,2,0.571,0,0,0,0.015,0.007,0.002,0,0,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,08-03-20,,,0.571,,,0,,,0.002,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,09-03-20,6,2,0.571,0,0,0,0.022,0.007,0.002,0,0,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,10-03-20,,,0.571,,,0,,,0.002,,,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,11-03-20,19,13,2.429,0,0,0,0.069,0.048,0.009,0,0,0,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,12-03-20,34,15,4.571,1,1,0.143,0.124,0.055,0.017,0.004,0.004,0.001,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,13-03-20,,,4.571,,,0.143,,,0.017,,,0.001,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,14-03-20,69,35,9.286,4,3,0.571,0.252,0.128,0.034,0.015,0.011,0.002,,,,,,,,,,37.04,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,15-03-20,96,27,13.143,4,0,0.571,0.351,0.099,0.048,0.015,0,0.002,,,,,,,,,,40.74,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,16-03-20,117,21,15.857,5,1,0.714,0.428,0.077,0.058,0.018,0.004,0.003,,1230,0.004,,,,,,people tested,43.52,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,17-03-20,134,17,18.286,5,0,0.714,0.49,0.062,0.067,0.018,0,0.003,25,1255,0.005,0,,,,,people tested,40.74,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
IDN,Asia,Indonesia,18-03-20,172,38,21.857,5,0,0.714,0.629,0.139,0.08,0.018,0,0.003,,,,,,,,,people tested,40.74,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.694
