iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
JPN,Asia,Japan,31-12-19,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,01-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,02-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,03-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,04-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,05-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,06-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,07-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.78,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,08-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.78,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
JPN,Asia,Japan,09-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2.78,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.909
