iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
MYS,Asia,Malaysia,31-12-19,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,01-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,02-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,03-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,04-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,05-01-20,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,06-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,07-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,08-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,09-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,10-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,11-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,12-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,13-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,14-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,15-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,16-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,17-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,18-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,19-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
MYS,Asia,Malaysia,20-01-20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11.11,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.802
